condition,cadence,gait_cycle_duration,gait_speed,step_duration,stride_length,trial_number,feedback,delay,amplitude,pink_noise,side,participant,condition_order,condition_labels,pretest_cadence,pretest_gait_cycle_duration,pretest_gait_speed,pretest_step_duration,pretest_stride_length,cadence_delta,gait_cycle_duration_delta,gait_speed_delta,step_duration_delta,stride_length_delta,cadence_delta_no_trend,gait_speed_delta_no_trend,slength_delta_no_trend,cv_cadence,cv_gait_cycle_duration,cv_gait_speed,cv_step_duration,cv_stride_length,pretest_cv_cadence,pretest_cv_gait_cycle_duration,pretest_cv_gait_speed,pretest_cv_step_duration,pretest_cv_stride_length,cv_cadence_delta,cv_gait_cycle_duration_delta,cv_gait_speed_delta,cv_step_duration_delta,cv_stride_length_delta,cv_cadence_delta_no_trend
D,98.29469969,1.221367188,1.139312474,0.610273438,1.389702922,1,1,2,2,0,total,1,3,"Delay High, Amplitude High",96.10673664,1.249251585,1.130494165,0.624600972,1.409987438,2.276596962,-2.232088183,0.780040235,-2.293870001,-1.438630996,0.76966472,-3.050166823,-3.65261315,0.023971981,0.0241293,0.033554059,0.028163901,0.017065386,0.020646377,0.020779516,0.028191761,0.023427121,0.018952564,16.10744775,16.12060833,19.02079831,20.21921516,-9.957377272,16.63726713
D,99.46063027,1.207074653,1.173286584,0.602170139,1.414327085,2,1,2,2,0,total,1,3,"Delay High, Amplitude High",96.10673664,1.249251585,1.130494165,0.624600972,1.409987438,3.489759141,-3.376175985,3.785284407,-3.591226131,0.307779101,1.982826899,-0.04492265,-1.906203052,0.020649208,0.020773646,0.024944206,0.022439157,0.021190306,0.020646377,0.020779516,0.028191761,0.023427121,0.018952564,0.013713464,-0.02824737,-11.51951806,-4.217180592,11.8070654,0.543532843
D,100.2299009,1.19750744,1.176916621,0.598511905,1.408710142,3,1,2,2,0,total,1,3,"Delay High, Amplitude High",96.10673664,1.249251585,1.130494165,0.624600972,1.409987438,4.290192759,-4.142011555,4.106386197,-4.176917502,-0.090589199,2.783260517,0.27617914,-2.304571353,0.017317941,0.017435601,0.026077018,0.019678305,0.018602001,0.020646377,0.020779516,0.028191761,0.023427121,0.018952564,-16.12116121,-16.09236096,-7.50128025,-16.00203456,-1.849688133,-15.59134183
D,108.4543133,1.10671875,1.280637129,0.55328125,1.415099034,1,1,2,2,0,total,2,6,"Delay High, Amplitude High",109.7220779,1.093771959,1.272515609,0.546433681,1.390182648,-1.155432548,1.183682872,0.638225596,1.253138103,1.792310268,-3.717093104,-6.044214097,-2.11175166,0.007952915,0.007977614,0.017182637,0.012929938,0.014134334,0.009433753,0.009471871,0.018363547,0.01330508,0.014951066,-15.69722802,-15.77573217,-6.430731012,-2.819542039,-5.462698679,-15.16740864
D,108.5572787,1.105505952,1.276765781,0.552120536,1.408918496,2,1,2,2,0,total,2,6,"Delay High, Amplitude High",109.7220779,1.093771959,1.272515609,0.546433681,1.390182648,-1.061590541,1.07280071,0.333997658,1.040721841,1.347725665,-3.623251097,-6.348442035,-2.556336263,0.011427302,0.011392948,0.02161769,0.016153883,0.015765675,0.009433753,0.009471871,0.018363547,0.01330508,0.014951066,21.13209243,20.28191685,17.72066479,21.4113902,5.448503481,21.66191181
D,109.2067139,1.099005682,1.288679895,0.549289773,1.413631411,3,1,2,2,0,total,2,6,"Delay High, Amplitude High",109.7220779,1.093771959,1.272515609,0.546433681,1.390182648,-0.469699453,0.478502241,1.270262323,0.522678554,1.686739751,-3.031360009,-5.41217737,-2.217322177,0.008921041,0.009045051,0.016290315,0.01083142,0.014953188,0.009433753,0.009471871,0.018363547,0.01330508,0.014951066,-5.434864415,-4.506184681,-11.28993378,-18.59184816,0.014195198,-4.905045035
D,111.7634583,1.073991935,1.07916372,0.536895161,1.15628636,1,1,2,2,0,total,3,5,"Delay High, Amplitude High",113.2148169,1.060225488,1.107433889,0.530023355,1.172435778,-1.281951108,1.298445236,-2.552763581,1.296510038,-1.377424502,-3.49203556,-8.284459062,-4.718126505,0.016875554,0.017326383,0.033795355,0.02046504,0.022047324,0.016043391,0.016407152,0.033402973,0.02023018,0.021913403,5.186954246,5.602625928,1.174691846,1.160940423,0.611135863,5.716773625
D,112.761686,1.064439655,1.099565298,0.532381466,1.168543788,2,1,2,2,0,total,3,5,"Delay High, Amplitude High",113.2148169,1.060225488,1.107433889,0.530023355,1.172435778,-0.400239927,0.397478403,-0.710524671,0.444906998,-0.3319576,-2.610324378,-6.442220152,-3.672659603,0.018192652,0.018770245,0.039278688,0.023417678,0.024711957,0.016043391,0.016407152,0.033402973,0.02023018,0.021913403,13.396553,14.40282495,17.59039532,15.75615435,12.77096772,13.92637238
D,112.8662143,1.063599537,1.096394405,0.53130787,1.163969433,3,1,2,2,0,total,3,5,"Delay High, Amplitude High",113.2148169,1.060225488,1.107433889,0.530023355,1.172435778,-0.307912524,0.318238844,-0.996852644,0.242350641,-0.722115857,-2.517996975,-6.728548125,-4.06281786,0.013061966,0.013124827,0.027134876,0.016807821,0.018980929,0.016043391,0.016407152,0.033402973,0.02023018,0.021913403,-18.58350724,-20.00545088,-18.76508717,-16.91709477,-13.38210359,-18.05368786
D,118.3065445,1.0144375,1.273040499,0.507375,1.290331306,1,1,2,2,0,total,4,7,"Delay High, Amplitude High",114.0299721,1.05255043,1.166971727,0.526417066,1.226997998,3.750393271,-3.621007499,9.089232405,-3.61729648,5.161647244,0.83715661,1.4560485,0.694225392,0.012102126,0.012157995,0.023730411,0.01826957,0.021073466,0.01143285,0.011484787,0.022434687,0.016020856,0.018247136,5.853973419,5.86173385,5.775540138,14.03616398,15.48917046,6.383792799
